"","gene_id","log2foldchange","log2CPM","pvalue","FDR","change","logP"
"MLLT11","MLLT11",2.67995626756141,6.5590527942194,2.93838015297703e-06,1.58146442731187e-05,"up",5.53189201805565
"SEPHS2","SEPHS2",-0.983053818498716,6.09709403821193,2.9499082151031e-06,1.58702849826056e-05,"not",5.530191496664
"A4GNT","A4GNT",-2.71678000568985,-2.73475027384372,2.95055776436967e-06,1.58702849826056e-05,"down",5.53009587856729
"RAP1GDS1","RAP1GDS1",1.1986774938953,5.82264434408954,2.96565208910078e-06,1.59465025856759e-05,"not",5.52787979890648
"NUDT21","NUDT21",0.903311647769436,7.15823676091289,2.98439218071844e-06,1.60422701178494e-05,"not",5.52514410655782
"CCDC87","CCDC87",-1.39686661840837,-0.508801038663512,2.9857236960938e-06,1.60444292669257e-05,"not",5.52495038509525
"ANXA13","ANXA13",-3.9351604055065,-0.781227926985025,2.99643762778867e-06,1.60969898093068e-05,"down",5.52339475791047
"EYA3","EYA3",-0.788780912869687,5.31791131750242,3.00631087492345e-06,1.61445035089872e-05,"not",5.52196611214466
"CTDSP1","CTDSP1",-1.06981511233663,6.42075168259379,3.00715353682322e-06,1.61445035089872e-05,"not",5.52184439747553
"SLC10A2","SLC10A2",-5.31109884588309,-2.38578248634625,3.03218426505365e-06,1.6273180970066e-05,"down",5.51824441027468
"MED1","MED1",1.29308552419822,5.76450470048872,3.03300782380367e-06,1.6273180970066e-05,"not",5.51812646940237
"RPS28","RPS28",1.75179469524955,10.0775662298032,3.0382750010675e-06,1.62963739954677e-05,"not",5.517372919729
"MT1M","MT1M",-2.88428817403977,0.810830598136568,3.04664240412963e-06,1.63361760979667e-05,"down",5.51617851756173
"DPYSL4","DPYSL4",3.1691680751986,4.33112973530895,3.06382028289093e-06,1.64231807956766e-05,"up",5.51373671307268
"TRERF1","TRERF1",1.28152451165959,5.70355002380553,3.07637355133697e-06,1.64853495740123e-05,"not",5.51196093108308
"ERCC8","ERCC8",0.917314001090007,3.78832860345673,3.11034997197155e-06,1.66622442615241e-05,"not",5.50719074205199
"PES1","PES1",1.45445524137273,6.72085283322854,3.11589645406502e-06,1.66867763236784e-05,"not",5.50641698301981
"PFN1","PFN1",1.62739210295289,10.7470703804577,3.14596803212565e-06,1.68425933584635e-05,"not",5.50224569479028
"PLEKHH1","PLEKHH1",-2.21578218184946,3.21733301946084,3.16217304164643e-06,1.69240992039731e-05,"down",5.50001436812426
"A4GALT","A4GALT",-2.10940721136382,3.76062015101726,3.1657881944666e-06,1.69381938900841e-05,"down",5.49951814476471
"TPRG1L","TPRG1L",-1.245290072106,4.62555628744358,3.17382796892832e-06,1.69759459404396e-05,"not",5.49841661701719
"NPY1R","NPY1R",-2.90685587550053,2.90087960353974,3.17548066573939e-06,1.69795224317735e-05,"down",5.49819052716621
"KPNA1","KPNA1",0.80533600574606,5.83441441065029,3.1800008601687e-06,1.6993348407745e-05,"not",5.49757276254184
"TSGA10IP","TSGA10IP",-1.77431071571263,-1.42912182328424,3.18003604802136e-06,1.6993348407745e-05,"not",5.49756795694386
"OGDH","OGDH",-1.03631963659883,6.70607079551684,3.18872004343118e-06,1.70344781267508e-05,"not",5.49638360836134
"RNF212B","RNF212B",-1.87094407490319,-1.93015602211024,3.19281474753231e-06,1.70510734969576e-05,"not",5.49582627922393
"ST3GAL1","ST3GAL1",-1.71108276986002,4.55197978708454,3.20334740838147e-06,1.71020295580515e-05,"not",5.49439595881939
"TMEM70","TMEM70",1.71870956590142,5.56601157886941,3.22674486093299e-06,1.72216153960405e-05,"not",5.49123537295045
"GPX8","GPX8",1.85158455241658,6.51046026368118,3.22983378533778e-06,1.72327711706875e-05,"not",5.490819826885
"RBL1","RBL1",1.12642125654574,4.00659232454024,3.25788620069359e-06,1.73770715279653e-05,"not",5.48706408984764
"AC005041.1","AC005041.1",-1.33682180322776,3.13558246714995,3.26180119021218e-06,1.73925771128279e-05,"not",5.48654251313788
"EDC3","EDC3",0.792805550679458,5.23242941428008,3.28626524117842e-06,1.7517610978231e-05,"not",5.48329738669179
"TOP1MT","TOP1MT",1.59286961742676,5.33132426039375,3.32674795574621e-06,1.77279295788761e-05,"not",5.47798010131785
"MTR","MTR",-0.905860604639451,5.7435927146234,3.33050962163952e-06,1.77424956842821e-05,"not",5.47748930735499
"SNED1","SNED1",-1.89772624873735,2.73254638839715,3.33411498423457e-06,1.77562203867183e-05,"not",5.47701942665634
